007f6287bffb63a5e2384aee1b51583f,32,68,68,1973,387,723,73,203,314,520,78,95,120,338,283,59,86,102,126
0f0206ff95d36bb61d99d7586e8cda10,24,56,3,594,67,158,28,89,39,69,24,39,24,62,23,10,4,19,43
24201e596adda9913f4832ec60946bd7,29,75,53,2091,377,844,146,389,231,455,146,173,76,382,109,43,25,92,181
4bbf9879aed0a109e5f48545ac5ed62e,22,74,25,1913,368,792,95,276,273,516,133,202,65,248,100,69,32,99,186
68e48297ed7860c367045f29b5533e58,26,67,67,2214,604,1241,174,434,430,807,214,245,71,264,464,103,34,172,167
7013632d7c09107e145188caf1e3628e,28,72,18,1863,296,635,77,231,219,404,156,187,51,271,244,62,23,105,104
7ec802f487219450c4dcd441c5f13bcc,26,66,2,908,146,266,26,67,120,199,56,76,87,138,68,21,42,33,161
93d478d30feac5589c2a0efc3bf3add7,25,1,0,26,6,13,4,10,2,3,1,2,1,2,3,1,0,0,3
a438012da4bcf70f8305b8a6f083c3fb,22,6,0,51,8,21,2,8,6,13,1,2,6,11,5,2,0,0,2
a5ab2af4fe5fa4e275830d5b19a672be,24,79,14,1791,258,666,119,337,139,329,73,93,32,275,231,68,21,68,101
a94f6df6ee0c2f3eaf0c533f718b7625,28,2,0,5,3,5,0,0,3,5,0,0,3,0,1,0,0,0,0
c58a9bc0a49cab4d477261a1301f1a21,21,32,2,283,36,51,0,0,36,51,9,15,27,54,7,9,40,10,36
cebf6bbba72263e424b226dd183c3497,29,36,0,343,50,105,16,39,34,66,24,28,3,38,56,12,2,19,34
d87197e64f319fb65e77460d59863025,20,79,79,2455,466,1036,116,311,350,725,195,228,70,407,168,84,57,122,168
dc29271158f8c56f570d48914b4dbd90,32,51,18,821,105,223,21,61,84,162,53,62,88,152,57,12,34,40,125
e2117eb8e1e268c532906e0adcd1cdcf,23,41,1,251,35,77,9,28,26,49,15,22,23,30,15,8,7,15,32
e953c5874e016fcb7c890f4d6b4ec839,24,80,60,2200,239,567,126,346,113,221,104,129,57,177,321,143,28,123,201
105a2cb6cd83a2669b1a5c1da840668b,21,75,74,2447,513,1173,152,414,361,759,189,223,65,252,363,67,27,158,153
